"","","","2008","","2004","","2000",""
"CD","Incumbent","Party","","","","","",""
"AK-AL","Young, Don","(R)","38","59","36","61","28","59"
"AL-01","Bonner","(R)","39","61","35","64","38","60"
"AL-02","Roby","(R)","36","63","33","67","38","61"
"AL-03","Rogers, Mike D.","(R)","43","56","41","58","47","52"
"AL-04","Aderholt","(R)","23","76","28","71","37","61"
"AL-05","Brooks","(R)","38","61","39","60","44","54"
"AL-06","Bachus","(R)","23","76","22","78","25","74"
"AL-07","Sewell","(D)","72","27","64","35","66","33"
"AR-01","Crawford","(R)","38","59","47","52","50","48"
"AR-02","Griffin","(R)","44","54","48","51","48","49"
"AR-03","Womack","(R)","34","64","36","62","37","60"
"AR-04","Ross, Mike","(D)","39","58","48","51","49","48"
"AZ-01","Gosar","(R)","44","54","46","54","46","51"
"AZ-02","Franks","(R)","38","61","38","61","41","57"
"AZ-03","Quayle","(R)","42","57","41","58","43","55"
"AZ-04","Pastor","(D)","66","33","62","38","63","35"
"AZ-05","Schweikert","(R)","47","52","45","54","43","54"
"AZ-06","Flake","(R)","38","61","35","64","37","61"
"AZ-07","Grijalva","(D)","57","42","57","43","58","38"
"AZ-08","Giffords","(D)","46","52","46","53","46","50"
"CA-01","Thompson, Mike","(D)","66","32","60","38","52","39"
"CA-02","Herger","(R)","43","55","37","62","33","61"
"CA-03","Lungren","(R)","49","49","41","58","41","55"
"CA-04","McClintock","(R)","44","54","37","61","36","59"
"CA-05","Matsui","(D)","70","28","61","38","60","35"
"CA-06","Woolsey","(D)","76","22","70","28","62","30"
"CA-07","Miller, George","(D)","72","27","67","32","66","31"
"CA-08","Pelosi","(D)","85","12","85","14","77","15"
"CA-09","Lee","(D)","88","10","86","13","79","13"
"CA-10","Garamendi","(D)","65","33","59","40","55","41"
"CA-11","McNerney","(D)","54","44","45","54","45","53"
"CA-12","Speier","(D)","74","24","72","27","67","29"
"CA-13","Stark","(D)","74","24","71","28","67","30"
"CA-14","Eshoo","(D)","73","25","68","30","62","34"
"CA-15","Honda","(D)","68","30","63","36","60","36"
"CA-16","Lofgren","(D)","70","29","63","36","64","33"
"CA-17","Farr","(D)","72","26","66","33","60","33"
"CA-18","Cardoza","(D)","59","39","49","50","53","44"
"CA-19","Denham","(R)","46","52","38","61","39","58"
"CA-20","Costa","(D)","60","39","51","48","55","44"
"CA-21","Nunes","(R)","42","56","34","65","37","61"
"CA-22","McCarthy, Kevin","(R)","38","60","31","68","33","64"
"CA-23","Capps","(D)","66","32","58","40","54","40"
"CA-24","Gallegly","(R)","51","48","43","56","43","54"
"CA-25","McKeon","(R)","49","48","40","59","42","56"
"CA-26","Dreier","(R)","51","47","44","55","44","53"
"CA-27","Sherman","(D)","66","32","59","39","60","36"
"CA-28","Berman","(D)","76","22","71","28","73","24"
"CA-29","Schiff","(D)","68","30","61","37","58","38"
"CA-30","Waxman","(D)","70","28","66","33","68","28"
"CA-31","Becerra","(D)","80","18","77","22","77","19"
"CA-32","Chu","(D)","68","30","62","37","67","31"
"CA-33","Bass, Karen","(D)","87","12","83","16","83","14"
"CA-34","Roybal-Allard","(D)","75","23","69","30","72","26"
"CA-35","Waters","(D)","84","14","79","20","82","17"
"CA-36","Hahn","(D)","64","34","59","40","57","39"
"CA-37","Richardson","(D)","80","19","74","25","76","22"
"CA-38","Napolitano","(D)","71","27","65","34","70","28"
"CA-39","Sanchez, Linda","(D)","65","32","59","40","62","36"
"CA-40","Royce","(R)","47","51","39","60","41","56"
"CA-41","Lewis, Jerry","(R)","44","54","37","62","41","56"
"CA-42","Miller, Gary","(R)","45","53","37","62","39","59"
"CA-43","Baca","(D)","68","30","58","41","64","34"
"CA-44","Calvert","(R)","50","49","40","59","44","53"
"CA-45","Bono Mack","(R)","52","47","43","56","47","51"
"CA-46","Rohrabacher","(R)","48","50","42","57","42","55"
"CA-47","Sanchez, Loretta","(D)","60","38","49","50","56","42"
"CA-48","Campbell","(R)","49","49","40","58","40","58"
"CA-49","Issa","(R)","45","53","36","63","39","59"
"CA-50","Bilbray","(R)","51","47","44","55","43","54"
"CA-51","Filner","(D)","63","35","53","46","57","41"
"CA-52","Hunter","(R)","45","53","38","61","40","57"
"CA-53","Davis, Susan","(D)","68","30","61","38","58","38"
"CO-01","DeGette","(D)","74","24","68","31","61","33"
"CO-02","Polis","(D)","64","34","58","41","52","43"
"CO-03","Tipton","(R)","47","50","44","55","39","54"
"CO-04","Gardner","(R)","49","50","41","58","37","57"
"CO-05","Lamborn","(R)","40","59","33","66","31","63"
"CO-06","Coffman","(R)","46","53","39","60","37","60"
"CO-07","Perlmutter","(D)","59","40","51","48","50","49"
"CT-01","Larson","(D)","66","33","60","39","62","33"
"CT-02","Courtney","(D)","59","40","54","44","54","40"
"CT-03","DeLauro","(D)","63","36","56","42","60","34"
"CT-04","Himes","(D)","60","40","52","46","53","43"
"CT-05","Murphy, Chris","(D)","56","42","49","49","52","43"
"DE-AL","Carney","(D)","62","37","53","46","55","42"
"FL-01","Miller, Jeff","(R)","32","67","28","72","31","69"
"FL-02","Southerland","(R)","45","54","46","54","47","53"
"FL-03","Brown","(D)","73","26","65","35","65","35"
"FL-04","Crenshaw","(R)","38","61","31","69","34","66"
"FL-05","Nugent","(R)","43","56","41","58","46","54"
"FL-06","Stearns","(R)","43","56","39","61","42","58"
"FL-07","Mica","(R)","46","53","43","57","46","54"
"FL-08","Webster","(R)","53","47","45","55","46","54"
"FL-09","Bilirakis","(R)","47","52","43","57","46","54"
"FL-10","Young, Bill","(R)","51","47","49","51","51","49"
"FL-11","Castor","(D)","66","33","58","41","61","39"
"FL-12","Ross, Dennis","(R)","49","50","42","58","45","55"
"FL-13","Buchanan","(R)","47","52","44","56","46","55"
"FL-14","Mack","(R)","42","57","38","62","39","61"
"FL-15","Posey","(R)","48","51","43","57","46","54"
"FL-16","Rooney","(R)","47","52","46","54","47","53"
"FL-17","Wilson, Frederica","(D)","87","12","83","17","85","15"
"FL-18","Ros-Lehtinen","(R)","51","49","46","54","43","57"
"FL-19","Deutch","(D)","65","34","66","34","73","27"
"FL-20","Wasserman Schultz","(D)","63","36","64","36","69","31"
"FL-21","Diaz-Balart","(R)","49","51","43","57","42","58"
"FL-22","West","(R)","52","48","52","48","52","48"
"FL-23","Hastings, Alcee","(D)","83","17","76","24","80","20"
"FL-24","Adams","(R)","49","51","45","55","47","53"
"FL-25","Rivera","(R)","49","50","44","56","45","55"
"GA-01","Kingston","(R)","36","63","34","66","38","62"
"GA-02","Bishop, Sanford","(D)","54","46","50","50","52","48"
"GA-03","Westmoreland","(R)","35","64","29","70","33","67"
"GA-04","Johnson, Hank","(D)","79","21","71","28","70","30"
"GA-05","Lewis, John","(D)","79","20","74","26","73","27"
"GA-06","Price, Tom","(R)","37","62","29","70","32","68"
"GA-07","Woodall","(R)","39","60","30","70","31","69"
"GA-08","Scott, Austin","(R)","43","56","39","61","42","58"
"GA-09","Graves, Tom","(R)","24","75","23","77","29","71"
"GA-10","Broun","(R)","38","61","35","65","37","63"
"GA-11","Gringrey","(R)","33","66","29","71","35","66"
"GA-12","Barrow","(D)","54","45","49","50","52","48"
"GA-13","Scott, David","(D)","71","28","60","40","57","43"
"HI-01","Hanabusa","(D)","70","28","53","47","55","39"
"HI-02","Hirono","(D)","73","25","56","44","56","36"
"IA-01","Braley","(D)","58","41","53","46","52","45"
"IA-02","Loebsack","(D)","60","38","55","44","53","43"
"IA-03","Boswell","(D)","54","44","50","50","49","48"
"IA-04","Latham","(R)","53","45","48","51","48","49"
"IA-05","King, Steve","(R)","44","54","39","60","40","57"
"ID-01","Labrador","(R)","36","62","30","69","28","68"
"ID-02","Simpson","(R)","36","61","30","69","28","67"
"IL-01","Rush","(D)","87","13","83","17","84","16"
"IL-02","Jackson","(D)","90","10","84","16","83","17"
"IL-03","Lipinski","(D)","64","35","59","41","58","40"
"IL-04","Gutierrez","(D)","85","13","79","21","79","20"
"IL-05","Quigley","(D)","73","26","67","33","66","34"
"IL-06","Roskam","(R)","56","43","47","53","44","53"
"IL-07","Davis, Danny","(D)","88","12","83","17","83","16"
"IL-08","Walsh","(R)","56","43","44","56","42","56"
"IL-09","Schakowsky","(D)","72","26","68","32","67","31"
"IL-10","Dold","(R)","61","38","53","47","51","47"
"IL-11","Kinzinger","(R)","53","45","46","53","48","50"
"IL-12","Costello","(D)","54","44","52","48","54","43"
"IL-13","Biggert","(R)","54","45","45","55","42","55"
"IL-14","Hultgren","(R)","55","44","44","55","43","54"
"IL-15","Johnson, Tim","(R)","48","50","41","59","43","54"
"IL-16","Manzullo","(R)","53","45","44","55","43","54"
"IL-17","Schilling","(R)","56","42","51","48","54","44"
"IL-18","Schock","(R)","48","50","42","58","44","54"
"IL-19","Shimkus","(R)","44","54","39","61","41","56"
"IN-01","Visclosky","(D)","62","37","55","44","56","42"
"IN-02","Donnelly","(D)","54","45","43","56","45","53"
"IN-03","Stutzman","(R)","43","56","31","68","33","66"
"IN-04","Rokita","(R)","43","56","30","69","32","66"
"IN-05","Burton","(R)","40","59","28","71","30","69"
"IN-06","Pence","(R)","46","53","35","64","40","59"
"IN-07","Carson","(D)","71","28","58","42","56","43"
"IN-08","Bucshon","(R)","47","51","38","62","42","57"
"IN-09","Young, Todd","(R)","49","50","40","59","42","56"
"KS-01","Huelskamp","(R)","30","69","26","72","29","67"
"KS-02","Jenkins","(R)","43","55","39","59","41","54"
"KS-03","Yoder","(R)","51","48","44","55","42","53"
"KS-04","Pompeo","(R)","40","58","34","64","37","59"
"KY-01","Whitfield","(R)","37","62","36","63","40","58"
"KY-02","Guthrie","(R)","38","61","34","65","37","62"
"KY-03","Yarmuth","(D)","56","43","51","49","50","48"
"KY-04","Davis, Geoff","(R)","38","60","36","63","37","61"
"KY-05","Rogers, Hal","(R)","31","67","39","61","42","57"
"KY-06","Chandler","(D)","43","55","41","58","42","56"
"LA-01","Scalise","(R)","26","73","28","71","31","67"
"LA-02","Richmond","(D)","74","25","75","24","76","22"
"LA-03","Landry","(R)","37","61","41","58","45","52"
"LA-04","Fleming","(R)","40","59","40","59","43","55"
"LA-05","Alexander","(R)","37","62","37","62","40","57"
"LA-06","Cassidy","(R)","41","57","40","59","43","55"
"LA-07","Boustany","(R)","35","63","39","60","42","55"
"MA-01","Olver","(D)","64","34","63","35","56","33"
"MA-02","Neal","(D)","59","39","59","40","58","35"
"MA-03","McGovern","(D)","59","39","59","40","59","35"
"MA-04","Frank","(D)","64","35","65","33","65","29"
"MA-05","Tsongas","(D)","59","39","57","41","57","36"
"MA-06","Tierney","(D)","58","41","58","41","57","36"
"MA-07","Markey","(D)","65","33","66","33","64","29"
"MA-08","Capuano","(D)","86","14","79","19","73","15"
"MA-09","Lynch","(D)","60","39","63","36","60","33"
"MA-10","Keating","(D)","55","44","56","43","54","39"
"MD-01","Harris","(R)","40","58","36","62","40","57"
"MD-02","Ruppersberger","(D)","60","38","54","45","57","41"
"MD-03","Sarbanes","(D)","59","39","54","45","55","41"
"MD-04","Edwards","(D)","85","14","78","21","77","21"
"MD-05","Hoyer","(D)","65","33","57","42","57","41"
"MD-06","Bartlett","(R)","40","58","34","65","36","61"
"MD-07","Cummings","(D)","79","20","73","26","73","25"
"MD-08","Hollen","(D)","74","25","69","30","66","31"
"ME-01","Pingree","(D)","61","38","55","43","50","43"
"ME-02","Michaud","(D)","55","43","52","46","48","45"
"MI-01","Benishek","(R)","50","48","46","53","45","52"
"MI-02","Huizenga","(R)","48","51","39","60","38","59"
"MI-03","Amash","(R)","49","49","40","59","38","60"
"MI-04","Camp","(R)","50","48","44","55","44","54"
"MI-05","Kildee","(D)","64","35","59","41","61","37"
"MI-06","Upton","(R)","54","45","46","53","45","52"
"MI-07","Walberg","(R)","52","46","45","54","46","51"
"MI-08","Rogers, Mike J.","(R)","53","46","45","54","47","51"
"MI-09","Peters","(D)","56","43","49","51","47","51"
"MI-10","Miller, Candice","(R)","48","50","43","57","45","53"
"MI-11","McCotter","(R)","54","45","47","53","47","51"
"MI-12","Levin","(D)","65","33","61","39","61","37"
"MI-13","Clarke, Hansen","(D)","85","15","81","19","80","19"
"MI-14","Conyers","(D)","86","14","83","17","81","18"
"MI-15","Dingell","(D)","66","33","62","38","60","38"
"MN-01","Walz","(D)","51","47","47","51","45","49"
"MN-02","Kline","(R)","48","50","45","54","44","51"
"MN-03","Paulson","(R)","52","46","48","51","46","50"
"MN-04","McCollum","(D)","64","34","62","37","57","37"
"MN-05","Ellison","(D)","74","24","71","28","63","29"
"MN-06","Bachmann","(R)","45","53","42","57","42","52"
"MN-07","Peterson","(D)","47","50","43","55","40","54"
"MN-08","Cravaack","(R)","53","45","53","46","49","44"
"MO-01","Clay","(D)","80","19","75","25","72","26"
"MO-02","Akin","(R)","44","55","40","60","39","59"
"MO-03","Carnahan","(D)","60","39","57","43","54","43"
"MO-04","Hartzler","(R)","38","61","35","64","40","58"
"MO-05","Cleaver","(D)","64","35","59","40","60","37"
"MO-06","Graves, Sam","(R)","45","54","42","57","44","53"
"MO-07","Long","(R)","35","63","32","67","36","62"
"MO-08","Emerson","(R)","36","62","36","64","39","59"
"MO-09","Luetkemeyer","(R)","44","55","41","59","42","55"
"MS-01","Nunnelee","(R)","38","62","37","62","40","59"
"MS-02","Thompson, Bennie","(D)","66","34","59","40","57","41"
"MS-03","Harper","(R)","38","62","34","65","35","64"
"MS-04","Palazzo","(R)","32","68","31","68","33","65"
"MT-AL","Rehberg","(R)","47","49","39","59","33","58"
"NC-01","Butterfield","(D)","62","37","57","42","57","42"
"NC-02","Ellmers","(R)","52","47","46","54","46","53"
"NC-03","Jones","(R)","38","61","32","68","35","64"
"NC-04","Price, David","(D)","63","36","55","44","53","46"
"NC-05","Foxx","(R)","38","61","33","66","33","66"
"NC-06","Coble","(R)","36","63","30","69","32","67"
"NC-07","McIntyre","(D)","47","52","44","56","48","52"
"NC-08","Kissell","(D)","53","47","45","54","46","54"
"NC-09","Myrick","(R)","45","55","36","63","36","63"
"NC-10","McHenry","(R)","36","63","33","67","34","65"
"NC-11","Shuler","(D)","47","52","43","57","40","58"
"NC-12","Watt","(D)","70","29","63","37","57","42"
"NC-13","Miller, Brad","(D)","59","40","52","47","49","50"
"ND-AL","Berg","(R)","45","53","36","63","33","61"
"NE-01","Fortenberry","(R)","44","54","36","63","36","59"
"NE-02","Terry","(R)","50","49","38","60","39","57"
"NE-03","Smith, Adrian","(R)","30","69","24","75","25","71"
"NH-01","Guinta","(R)","53","47","48","51","46","49"
"NH-02","Bass, Charlie","(R)","56","43","52","47","48","47"
"NJ-01","Andrews","(D)","65","34","61","39","63","34"
"NJ-02","LoBiondo","(R)","54","45","49","50","54","43"
"NJ-03","Runyan","(R)","52","47","49","51","54","43"
"NJ-04","Smith, Chris","(R)","47","52","44","56","50","46"
"NJ-05","Garrett","(R)","45","54","43","57","45","52"
"NJ-06","Pallone","(D)","60","39","57","43","61","35"
"NJ-07","Lance","(R)","51","48","47","53","48","49"
"NJ-08","Pascrell","(D)","63","36","59","41","60","37"
"NJ-09","Rothman","(D)","61","38","59","41","63","34"
"NJ-10","Payne","(D)","87","13","82","18","83","16"
"NJ-11","Frelinghuysen","(R)","45","54","42","58","43","54"
"NJ-12","Holt","(D)","58","41","54","46","56","40"
"NJ-13","Sires","(D)","75","24","69","31","72","25"
"NM-01","Heinrich","(D)","60","40","51","48","48","47"
"NM-02","Pearce","(R)","49","50","41","58","43","54"
"NM-03","Lujan","(D)","61","38","54","45","52","43"
"NV-01","Berkley","(D)","64","34","57","42","56","41"
"NV-02","Amodei","(R)","49","49","41","57","37","57"
"NV-03","Heck","(R)","55","43","49","50","49","48"
"NY-01","Bishop, Tim","(D)","52","48","49","49","52","44"
"NY-02","Israel","(D)","56","43","53","45","57","39"
"NY-03","King, Peter","(R)","47","52","47","52","52","44"
"NY-04","McCarthy, Carolyn","(D)","58","41","55","44","59","38"
"NY-05","Ackerman","(D)","63","36","63","36","67","30"
"NY-06","Meeks","(D)","89","11","84","15","87","11"
"NY-07","Crowley","(D)","79","20","74","25","75","21"
"NY-08","Nadler","(D)","74","26","72","27","74","18"
"NY-09","Turner","(R)","55","44","56","44","67","30"
"NY-10","Towns","(D)","91","9","86","13","88","8"
"NY-11","Clarke, Yvette","(D)","91","9","86","13","83","9"
"NY-12","Velazquez","(D)","86","13","80","19","77","15"
"NY-13","Grimm","(R)","49","51","45","55","52","44"
"NY-14","Maloney","(D)","78","21","74","25","70","23"
"NY-15","Rangel","(D)","93","6","90","9","87","7"
"NY-16","Serrano","(D)","95","5","89","10","92","5"
"NY-17","Engel","(D)","72","28","67","33","69","27"
"NY-18","Lowey","(D)","62","38","58","42","58","39"
"NY-19","Hayworth","(R)","51","48","45","54","47","49"
"NY-20","Gibson","(R)","51","48","46","54","44","51"
"NY-21","Tonko","(D)","58","40","55","43","56","39"
"NY-22","Hinchey","(D)","59","39","54","45","51","42"
"NY-23","Owens","(D)","52","47","47","51","47","49"
"NY-24","Hannah","(R)","51","48","47","53","47","48"
"NY-25","Buerkle","(R)","56","43","50","48","51","45"
"NY-26","Hochul","(D)","46","52","43","55","44","51"
"NY-27","Higgins","(D)","54","44","53","45","53","41"
"NY-28","Slaughter","(D)","69","30","63","36","60","35"
"NY-29","Reed","(R)","48","51","42","56","43","53"
"OH-01","Chabot","(R)","55","44","49","51","46","51"
"OH-02","Schmidt","(R)","40","59","36","64","34","63"
"OH-03","Turner","(R)","47","51","46","54","45","52"
"OH-04","Jordan","(R)","38","60","34","65","35","62"
"OH-05","Latta","(R)","45","53","39","61","37","59"
"OH-06","Johnson, Bill","(R)","48","50","49","51","47","49"
"OH-07","Austria","(R)","45","54","43","57","42","56"
"OH-08","Boehner","(R)","38","60","35","64","36","61"
"OH-09","Kaptur","(D)","62","36","58","42","55","41"
"OH-10","Kucinich","(D)","59","39","58","41","53","42"
"OH-11","Fudge","(D)","85","14","81","18","79","18"
"OH-12","Tiberi","(R)","53","46","49","51","46","52"
"OH-13","Sutton","(D)","57","42","56","44","53","44"
"OH-14","LaTourette","(R)","49","49","47","53","44","52"
"OH-15","Stivers","(R)","54","45","50","50","44","52"
"OH-16","Renacci","(R)","48","50","46","54","42","53"
"OH-17","Ryan, Tim","(D)","62","36","63","37","60","35"
"OH-18","Gibbs","(R)","45","52","43","57","41","55"
"OK-01","Sullivan","(R)","36","64","35","65","37","62"
"OK-02","Boren","(D)","34","66","41","59","47","52"
"OK-03","Lucas","(R)","27","73","28","72","34","65"
"OK-04","Cole","(R)","34","66","33","67","38","61"
"OK-05","Lankford","(R)","41","59","36","64","38","62"
"OR-01","","(D)","61","36","55","44","50","44"
"OR-02","Walden","(R)","43","54","38","61","35","60"
"OR-03","Blumenauer","(D)","71","26","67","33","61","32"
"OR-04","DeFazio","(D)","54","43","49","49","44","49"
"OR-05","Schrader","(D)","54","43","49","50","47","48"
"PA-01","Brady, Bob","(D)","88","12","84","15","84","15"
"PA-02","Fattah","(D)","90","10","87","12","87","12"
"PA-03","Kelly","(R)","49","49","47","53","47","51"
"PA-04","Altmire","(D)","44","55","45","54","46","52"
"PA-05","Thompson, Glenn","(R)","44","55","39","61","38","59"
"PA-06","Gerlach","(R)","58","41","52","48","49","49"
"PA-07","Meehan","(R)","56","43","53","47","51","47"
"PA-08","Fitzpatrick","(R)","54","45","51","48","51","46"
"PA-09","Schuster","(R)","35","63","33","67","34","64"
"PA-10","Marino","(R)","45","54","40","60","41","56"
"PA-11","Barletta","(R)","57","42","53","47","54","43"
"PA-12","Critz","(D)","49","50","51","49","55","44"
"PA-13","Schwarz","(D)","59","41","56","43","56","42"
"PA-14","Doyle","(D)","70","29","69","30","70","28"
"PA-15","Dent","(R)","56","43","50","50","49","48"
"PA-16","Pitts","(R)","48","51","38","61","36","62"
"PA-17","Holden","(D)","48","51","42","58","41","56"
"PA-18","Murphy, Tim","(R)","44","55","46","54","47","52"
"PA-19","Platts","(R)","43","56","36","64","36","61"
"RI-01","Cicilline","(D)","65","33","62","36","63","31"
"RI-02","Langevin","(D)","61","37","57","41","60","33"
"SC-01","Scott, Tim","(R)","42","57","39","61","38","59"
"SC-02","Wilson, Joe","(R)","45","54","39","60","39","58"
"SC-03","Duncan, Jeff","(R)","35","64","34","66","35","63"
"SC-04","Gowdy","(R)","38","60","34","65","33","64"
"SC-05","Mulvaney","(R)","46","53","42","57","43","55"
"SC-06","Clyburn","(D)","64","35","61","39","58","40"
"SD-AL","Noem","(R)","45","53","38","60","38","60"
"TN-01","Roe","(R)","29","70","31","68","38","61"
"TN-02","Duncan, John","(R)","34","64","35","64","39","59"
"TN-03","Fleischmann","(R)","37","62","38","61","41","57"
"TN-04","DesJarlais","(R)","34","64","41","58","49","50"
"TN-05","Cooper","(D)","56","43","52","48","57","42"
"TN-06","Black","(R)","37","62","40","60","49","49"
"TN-07","Blackburn","(R)","34","65","33","66","40","59"
"TN-08","Fincher","(R)","43","56","47","53","51","48"
"TN-09","Cohen","(D)","77","22","70","30","63","36"
"TX-01","Gohmert","(R)","31","69","31","69","33","68"
"TX-02","Poe","(R)","40","60","37","63","37","63"
"TX-03","Johnson, Sam","(R)","42","57","33","67","30","70"
"TX-04","Hall","(R)","30","69","30","70","34","66"
"TX-05","Hensarling","(R)","36","63","33","67","34","66"
"TX-06","Barton","(R)","40","60","34","66","34","66"
"TX-07","Culberson","(R)","41","58","36","64","31","69"
"TX-08","Brady, Kevin","(R)","26","74","28","72","31","69"
"TX-09","Green, Al","(D)","77","23","70","30","69","31"
"TX-10","McCaul","(R)","44","55","38","62","34","67"
"TX-11","Conaway","(R)","24","76","22","78","25","75"
"TX-12","Granger","(R)","36","63","33","67","36","64"
"TX-13","Thornberry","(R)","23","77","22","78","26","74"
"TX-14","Paul","(R)","33","66","33","67","36","64"
"TX-15","Hinojosa","(D)","60","40","49","51","54","46"
"TX-16","Reyes","(D)","66","34","57","44","59","41"
"TX-17","Flores","(R)","32","67","30","70","32","68"
"TX-18","Jackson-Lee","(D)","77","22","72","28","72","28"
"TX-19","Neugebauer","(R)","27","72","23","77","25","75"
"TX-20","Gonzalez","(D)","63","36","55","45","58","42"
"TX-21","Smith, Lamar","(R)","41","58","34","66","31","69"
"TX-22","Olson","(R)","41","58","36","64","33","67"
"TX-23","Canseco","(R)","51","48","43","57","47","54"
"TX-24","Marchant","(R)","44","55","35","65","32","68"
"TX-25","Doggett","(D)","59","40","54","46","47","53"
"TX-26","Burgess","(R)","41","58","35","65","38","62"
"TX-27","Farenthold","(R)","53","46","45","55","50","50"
"TX-28","Cuellar","(D)","56","44","46","54","50","50"
"TX-29","Green, Gene","(D)","62","38","56","44","57","43"
"TX-30","Johnson, E.B.","(D)","82","18","75","25","74","26"
"TX-31","Carter","(R)","42","58","33","67","32","69"
"TX-32","Sessions","(R)","46","53","40","60","36","64"
"UT-01","Bishop, Rob","(R)","33","64","25","73","27","68"
"UT-02","Matheson","(D)","39","57","31","66","31","67"
"UT-03","Chaffetz","(R)","29","67","20","77","24","75"
"VA-01","Wittman","(R)","48","51","39","60","39","58"
"VA-02","Rigell","(R)","51","49","42","58","43","55"
"VA-03","Scott, Bobby","(D)","76","24","66","33","66","32"
"VA-04","Forbes","(R)","50","49","43","57","44","54"
"VA-05","Hurt","(R)","48","51","43","56","41","55"
"VA-06","Goodlatte","(R)","42","57","36","63","37","60"
"VA-07","Cantor","(R)","46","53","38","61","37","61"
"VA-08","Moran","(D)","69","30","64","35","57","38"
"VA-09","Griffith","(R)","40","59","39","60","42","55"
"VA-10","Wolf","(R)","53","46","44","55","41","56"
"VA-11","Connolly","(D)","57","42","49","50","45","52"
"VT-AL","Welch","(D)","68","31","59","39","51","41"
"WA-01","Inslee","(D)","62","36","56","42","53","42"
"WA-02","Larsen","(D)","56","42","51","47","48","46"
"WA-03","Herrera Beutler","(R)","52","46","48","50","46","48"
"WA-04","Hastings, Doc","(R)","40","58","35","63","34","62"
"WA-05","McMorris Rodgers","(R)","46","52","41","57","40","56"
"WA-06","Dicks","(D)","57","41","53","45","52","43"
"WA-07","McDermott","(D)","84","15","79","19","72","21"
"WA-08","Reichert","(R)","57","42","51","48","49","47"
"WA-09","Smith, Adam","(D)","59","40","53","46","53","43"
"WI-01","Ryan, Paul","(R)","51","48","46","54","45","51"
"WI-02","Baldwin","(D)","69","30","62","37","58","36"
"WI-03","Kind","(D)","58","41","51","48","49","46"
"WI-04","Moore","(D)","75","24","70","30","66","30"
"WI-05","Sensenbrenner","(R)","41","58","36","63","35","62"
"WI-06","Petri","(R)","50","49","43","56","42","53"
"WI-07","Duffy","(R)","56","43","50","49","48","47"
"WI-08","Ribble","(R)","54","45","44","55","43","52"
"WV-01","McKinley","(R)","42","57","42","58","43","54"
"WV-02","Capito","(R)","44","55","42","57","44","54"
"WV-03","Rahall","(D)","42","56","46","53","51","47"
"WY-AL","Lummis","(R)","33","65","29","69","28","69"